user_id,signup_date,acquisition_channel,device
1,12/02/2024,Organic,Desktop
2,27/09/2024,Organic,Mobile
3,28/04/2024,Facebook Ads,Desktop
4,23/03/2024,Organic,Desktop
5,16/01/2024,Organic,Mobile
6,16/01/2024,Organic,Desktop
7,06/01/2024,Referral,Mobile
8,30/06/2024,Facebook Ads,Mobile
9,23/03/2024,Organic,Desktop
10,20/04/2024,Facebook Ads,Mobile
11,02/01/2024,Google Ads,Desktop
12,11/11/2024,Facebook Ads,Desktop
13,09/06/2024,Google Ads,Desktop
14,22/01/2024,Google Ads,Mobile
15,19/01/2024,Organic,Mobile
16,19/01/2024,Google Ads,Desktop
17,02/02/2024,Organic,Mobile
18,07/03/2024,Google Ads,Mobile
19,20/02/2024,Facebook Ads,Mobile
20,31/01/2024,Organic,Mobile
21,26/03/2024,Facebook Ads,Mobile
22,14/01/2024,Google Ads,Desktop
23,01/02/2024,Organic,Desktop
24,11/02/2024,Google Ads,Mobile
25,24/02/2024,Facebook Ads,Mobile
26,18/05/2024,Google Ads,Mobile
27,21/01/2024,Referral,Desktop
28,05/03/2024,Organic,Mobile
29,21/03/2024,Organic,Desktop
30,05/01/2024,Organic,Mobile
31,25/03/2024,Facebook Ads,Desktop
32,17/01/2024,Google Ads,Mobile
33,07/01/2024,Organic,Desktop
34,24/09/2024,Facebook Ads,Mobile
35,30/10/2024,Facebook Ads,Desktop
36,28/05/2024,Facebook Ads,Mobile
37,02/02/2024,Google Ads,Desktop
38,10/01/2024,Referral,Desktop
39,13/04/2024,Facebook Ads,Mobile
40,22/02/2024,Google Ads,Desktop
41,12/01/2024,Facebook Ads,Desktop
42,02/03/2024,Referral,Mobile
43,04/01/2024,Facebook Ads,Mobile
44,04/08/2024,Google Ads,Mobile
45,27/01/2024,Organic,Desktop
46,07/04/2024,Organic,Desktop
47,03/02/2024,Google Ads,Mobile
48,07/03/2024,Google Ads,Mobile
49,12/03/2024,Google Ads,Desktop
50,19/01/2024,Facebook Ads,Desktop
51,10/11/2024,Facebook Ads,Mobile
52,14/05/2024,Google Ads,Desktop
53,09/09/2024,Facebook Ads,Mobile
54,21/07/2024,Facebook Ads,Mobile
55,22/03/2024,Organic,Desktop
56,17/08/2024,Referral,Mobile
57,09/01/2024,Organic,Mobile
58,20/01/2024,Facebook Ads,Mobile
59,05/01/2024,Facebook Ads,Desktop
60,05/02/2024,Referral,Desktop
61,14/02/2024,Facebook Ads,Mobile
62,29/01/2024,Facebook Ads,Mobile
63,07/06/2024,Organic,Mobile
64,09/02/2024,Organic,Desktop
65,30/01/2024,Organic,Mobile
66,11/03/2024,Facebook Ads,Desktop
67,14/01/2024,Facebook Ads,Mobile
68,25/05/2024,Referral,Mobile
69,07/01/2024,Facebook Ads,Mobile
70,25/01/2025,Organic,Mobile
71,13/05/2024,Organic,Desktop
72,20/01/2024,Organic,Mobile
73,01/01/2024,Google Ads,Mobile
74,01/06/2024,Facebook Ads,Mobile
75,20/04/2024,Organic,Mobile
76,27/04/2024,Referral,Mobile
77,12/05/2024,Referral,Mobile
78,07/01/2024,Facebook Ads,Mobile
79,09/02/2024,Facebook Ads,Desktop
80,12/01/2024,Referral,Mobile
81,27/06/2024,Organic,Mobile
82,28/03/2024,Referral,Desktop
83,06/02/2024,Facebook Ads,Mobile
84,06/01/2024,Organic,Mobile
85,03/02/2024,Organic,Mobile
86,05/02/2024,Organic,Mobile
87,27/04/2024,Google Ads,Desktop
88,01/04/2024,Facebook Ads,Mobile
89,15/07/2024,Organic,Desktop
90,27/02/2024,Facebook Ads,Mobile
91,12/01/2024,Google Ads,Mobile
92,22/04/2024,Referral,Desktop
93,08/05/2024,Google Ads,Mobile
94,15/03/2024,Organic,Desktop
95,12/05/2024,Facebook Ads,Mobile
96,02/03/2024,Organic,Desktop
97,07/03/2024,Referral,Mobile
98,20/02/2024,Facebook Ads,Desktop
99,03/01/2024,Facebook Ads,Mobile
100,11/01/2024,Google Ads,Desktop
101,03/01/2024,Facebook Ads,Mobile
102,01/04/2024,Organic,Desktop
103,03/02/2024,Referral,Mobile
104,04/03/2024,Google Ads,Desktop
105,02/08/2024,Facebook Ads,Mobile
106,26/01/2024,Google Ads,Mobile
107,17/02/2024,Organic,Mobile
108,06/05/2024,Facebook Ads,Mobile
109,24/01/2024,Organic,Mobile
110,08/01/2024,Organic,Desktop
111,31/01/2024,Organic,Desktop
112,16/01/2024,Facebook Ads,Mobile
113,26/08/2024,Organic,Desktop
114,28/05/2024,Facebook Ads,Mobile
115,31/03/2024,Facebook Ads,Mobile
116,03/07/2024,Referral,Desktop
117,26/05/2024,Organic,Desktop
118,19/01/2024,Facebook Ads,Desktop
119,19/07/2024,Facebook Ads,Mobile
120,10/03/2024,Facebook Ads,Desktop
121,28/05/2024,Facebook Ads,Mobile
122,22/07/2024,Facebook Ads,Mobile
123,04/02/2024,Facebook Ads,Mobile
124,11/01/2024,Google Ads,Desktop
125,24/01/2024,Organic,Desktop
126,20/02/2024,Organic,Desktop
127,02/06/2024,Organic,Mobile
128,26/06/2024,Facebook Ads,Mobile
129,01/01/2024,Referral,Mobile
130,05/03/2024,Organic,Mobile
131,18/02/2024,Organic,Mobile
132,23/01/2024,Organic,Desktop
133,12/01/2024,Referral,Mobile
134,07/02/2024,Google Ads,Mobile
135,14/09/2024,Facebook Ads,Mobile
136,05/02/2024,Organic,Mobile
137,06/03/2024,Organic,Mobile
138,19/04/2024,Organic,Desktop
139,10/02/2024,Google Ads,Desktop
140,17/11/2024,Facebook Ads,Desktop
141,22/10/2024,Google Ads,Mobile
142,27/01/2024,Referral,Mobile
143,02/03/2024,Organic,Mobile
144,02/02/2024,Google Ads,Desktop
145,31/01/2024,Facebook Ads,Desktop
146,04/01/2024,Google Ads,Mobile
147,25/03/2024,Referral,Mobile
148,03/03/2024,Organic,Mobile
149,05/01/2024,Organic,Desktop
150,30/01/2024,Google Ads,Desktop
151,02/08/2024,Organic,Desktop
152,25/01/2024,Facebook Ads,Mobile
153,15/01/2024,Organic,Mobile
154,01/03/2024,Google Ads,Mobile
155,16/01/2025,Google Ads,Mobile
156,25/01/2024,Organic,Mobile
157,10/04/2024,Referral,Desktop
158,09/05/2024,Facebook Ads,Desktop
159,25/01/2024,Organic,Mobile
160,27/04/2024,Facebook Ads,Desktop
161,11/02/2024,Google Ads,Mobile
162,31/03/2024,Facebook Ads,Mobile
163,31/03/2024,Google Ads,Mobile
164,10/03/2024,Google Ads,Mobile
165,09/01/2024,Facebook Ads,Mobile
166,11/06/2024,Google Ads,Mobile
167,04/02/2024,Referral,Mobile
168,19/01/2024,Facebook Ads,Desktop
169,04/01/2024,Organic,Mobile
170,21/03/2024,Google Ads,Mobile
171,11/04/2024,Organic,Mobile
172,02/01/2024,Facebook Ads,Desktop
173,05/03/2024,Facebook Ads,Mobile
174,24/01/2024,Facebook Ads,Desktop
175,03/04/2024,Facebook Ads,Mobile
176,18/01/2024,Facebook Ads,Mobile
177,15/04/2024,Organic,Desktop
178,14/02/2024,Referral,Mobile
179,05/09/2024,Organic,Mobile
180,14/01/2024,Organic,Mobile
181,07/02/2024,Facebook Ads,Desktop
182,11/01/2024,Facebook Ads,Mobile
183,20/08/2024,Google Ads,Mobile
184,07/07/2024,Facebook Ads,Desktop
185,27/01/2024,Google Ads,Mobile
186,07/04/2024,Google Ads,Desktop
187,01/06/2024,Google Ads,Desktop
188,13/03/2024,Google Ads,Mobile
189,08/03/2024,Organic,Mobile
190,25/01/2024,Organic,Mobile
191,09/01/2024,Google Ads,Desktop
192,23/07/2024,Referral,Desktop
193,26/07/2024,Referral,Desktop
194,31/03/2024,Google Ads,Desktop
195,07/02/2024,Google Ads,Desktop
196,08/02/2024,Google Ads,Mobile
197,26/04/2024,Referral,Mobile
198,23/07/2024,Referral,Desktop
199,15/07/2024,Facebook Ads,Mobile
200,16/05/2024,Google Ads,Mobile
201,02/04/2024,Organic,Desktop
202,08/01/2024,Google Ads,Mobile
203,16/01/2024,Facebook Ads,Desktop
204,24/07/2024,Referral,Desktop
205,24/03/2024,Organic,Mobile
206,01/01/2024,Organic,Desktop
207,10/01/2024,Referral,Mobile
208,08/04/2024,Organic,Mobile
209,01/01/2024,Google Ads,Mobile
210,16/01/2024,Organic,Mobile
211,12/03/2024,Facebook Ads,Mobile
212,15/04/2024,Organic,Mobile
213,04/04/2024,Facebook Ads,Mobile
214,23/01/2024,Organic,Mobile
215,22/04/2024,Facebook Ads,Desktop
216,25/01/2024,Facebook Ads,Desktop
217,05/02/2024,Facebook Ads,Mobile
218,03/05/2024,Facebook Ads,Mobile
219,04/04/2024,Organic,Mobile
220,19/06/2024,Organic,Mobile
221,06/04/2024,Google Ads,Desktop
222,16/03/2024,Facebook Ads,Desktop
223,09/01/2024,Facebook Ads,Mobile
224,11/02/2024,Facebook Ads,Mobile
225,28/01/2024,Facebook Ads,Mobile
226,26/01/2024,Referral,Desktop
227,21/11/2024,Facebook Ads,Mobile
228,14/02/2024,Google Ads,Desktop
229,19/07/2024,Facebook Ads,Desktop
230,30/03/2024,Facebook Ads,Mobile
231,22/05/2024,Google Ads,Desktop
232,03/03/2024,Organic,Desktop
233,18/03/2024,Facebook Ads,Desktop
234,02/03/2024,Facebook Ads,Mobile
235,20/01/2024,Google Ads,Mobile
236,25/04/2024,Facebook Ads,Desktop
237,30/01/2024,Facebook Ads,Desktop
238,03/01/2024,Referral,Desktop
239,03/04/2024,Organic,Desktop
240,18/01/2024,Organic,Desktop
241,10/09/2024,Google Ads,Desktop
242,03/10/2024,Google Ads,Mobile
243,09/08/2024,Google Ads,Mobile
244,11/02/2024,Organic,Desktop
245,02/01/2024,Organic,Desktop
246,25/08/2024,Facebook Ads,Desktop
247,20/02/2024,Google Ads,Mobile
248,02/11/2024,Google Ads,Desktop
249,25/10/2024,Referral,Desktop
250,21/06/2024,Organic,Mobile
251,01/02/2024,Google Ads,Mobile
252,13/02/2024,Facebook Ads,Mobile
253,20/06/2024,Organic,Mobile
254,04/02/2024,Facebook Ads,Mobile
255,17/01/2024,Google Ads,Mobile
256,14/03/2024,Facebook Ads,Mobile
257,04/09/2024,Organic,Desktop
258,17/04/2024,Facebook Ads,Desktop
259,16/03/2024,Google Ads,Desktop
260,10/01/2024,Referral,Mobile
261,26/03/2024,Facebook Ads,Mobile
262,18/02/2025,Google Ads,Desktop
263,14/01/2024,Google Ads,Mobile
264,06/03/2024,Facebook Ads,Desktop
265,07/07/2024,Organic,Desktop
266,01/05/2024,Facebook Ads,Mobile
267,17/04/2024,Google Ads,Desktop
268,19/04/2024,Organic,Mobile
269,10/02/2024,Organic,Mobile
270,01/02/2024,Organic,Desktop
271,29/05/2024,Facebook Ads,Mobile
272,29/05/2024,Facebook Ads,Desktop
273,30/06/2024,Organic,Mobile
274,08/08/2024,Google Ads,Mobile
275,05/03/2024,Organic,Desktop
276,03/03/2024,Organic,Desktop
277,24/05/2024,Organic,Mobile
278,04/04/2024,Google Ads,Mobile
279,18/04/2024,Google Ads,Desktop
280,22/05/2024,Organic,Mobile
281,17/07/2024,Google Ads,Desktop
282,07/02/2024,Facebook Ads,Desktop
283,12/02/2024,Referral,Desktop
284,09/01/2024,Referral,Desktop
285,18/03/2024,Google Ads,Mobile
286,04/01/2024,Facebook Ads,Desktop
287,26/02/2024,Google Ads,Desktop
288,11/03/2024,Organic,Mobile
289,31/01/2024,Referral,Desktop
290,21/03/2024,Facebook Ads,Mobile
291,03/01/2024,Facebook Ads,Mobile
292,04/01/2024,Referral,Mobile
293,04/06/2024,Google Ads,Desktop
294,10/02/2024,Google Ads,Mobile
295,13/01/2024,Referral,Desktop
296,07/03/2024,Facebook Ads,Desktop
297,12/05/2024,Organic,Mobile
298,22/01/2024,Facebook Ads,Mobile
299,28/03/2024,Google Ads,Desktop
300,09/01/2024,Organic,Mobile
301,05/01/2024,Google Ads,Desktop
302,09/03/2024,Referral,Mobile
303,11/03/2024,Organic,Mobile
304,01/04/2024,Google Ads,Desktop
305,26/04/2024,Facebook Ads,Mobile
306,01/12/2024,Google Ads,Mobile
307,06/03/2024,Google Ads,Mobile
308,05/02/2024,Facebook Ads,Mobile
309,22/05/2024,Google Ads,Mobile
310,29/01/2024,Google Ads,Desktop
311,22/02/2024,Organic,Mobile
312,08/01/2024,Organic,Mobile
313,03/01/2024,Organic,Desktop
314,22/10/2024,Facebook Ads,Mobile
315,11/06/2024,Facebook Ads,Mobile
316,17/04/2024,Organic,Desktop
317,17/02/2024,Google Ads,Desktop
318,18/01/2024,Facebook Ads,Desktop
319,16/01/2024,Organic,Desktop
320,26/01/2024,Organic,Mobile
321,12/03/2024,Google Ads,Desktop
322,22/04/2024,Facebook Ads,Mobile
323,07/04/2024,Organic,Mobile
324,30/01/2024,Organic,Mobile
325,05/10/2024,Organic,Mobile
326,30/04/2024,Organic,Mobile
327,13/03/2024,Organic,Desktop
328,26/03/2024,Google Ads,Mobile
329,18/02/2024,Facebook Ads,Mobile
330,26/01/2024,Organic,Mobile
331,09/02/2024,Organic,Mobile
332,07/05/2024,Organic,Desktop
333,02/01/2024,Facebook Ads,Mobile
334,12/01/2024,Facebook Ads,Mobile
335,05/01/2024,Referral,Mobile
336,04/01/2024,Organic,Desktop
337,23/06/2024,Referral,Mobile
338,19/04/2024,Organic,Mobile
339,27/02/2024,Organic,Mobile
340,10/01/2024,Organic,Mobile
341,01/03/2024,Referral,Mobile
342,27/02/2024,Organic,Desktop
343,18/01/2024,Organic,Desktop
344,21/02/2024,Facebook Ads,Desktop
345,15/02/2024,Google Ads,Mobile
346,27/03/2024,Organic,Mobile
347,31/03/2024,Facebook Ads,Mobile
348,05/01/2024,Facebook Ads,Desktop
349,12/02/2024,Google Ads,Desktop
350,29/03/2024,Facebook Ads,Desktop
351,03/03/2024,Facebook Ads,Mobile
352,23/06/2024,Google Ads,Mobile
353,06/04/2024,Referral,Mobile
354,17/01/2024,Google Ads,Desktop
355,07/01/2024,Facebook Ads,Desktop
356,02/04/2024,Facebook Ads,Desktop
357,03/01/2024,Organic,Mobile
358,20/03/2024,Google Ads,Mobile
359,10/09/2024,Organic,Desktop
360,18/03/2024,Organic,Desktop
361,14/02/2024,Organic,Mobile
362,02/04/2024,Facebook Ads,Mobile
363,25/02/2024,Organic,Mobile
364,11/03/2024,Facebook Ads,Mobile
365,12/09/2024,Referral,Mobile
366,13/02/2024,Organic,Desktop
367,19/10/2024,Google Ads,Mobile
368,31/07/2024,Facebook Ads,Mobile
369,20/01/2024,Facebook Ads,Mobile
370,07/01/2024,Organic,Desktop
371,10/01/2024,Facebook Ads,Desktop
372,02/01/2024,Organic,Mobile
373,09/01/2024,Facebook Ads,Desktop
374,13/04/2024,Organic,Desktop
375,07/01/2024,Organic,Mobile
376,04/02/2024,Organic,Mobile
377,16/06/2024,Organic,Desktop
378,03/01/2024,Facebook Ads,Desktop
379,31/05/2024,Facebook Ads,Desktop
380,30/01/2024,Organic,Desktop
381,12/01/2024,Google Ads,Desktop
382,17/04/2024,Google Ads,Mobile
383,30/03/2024,Facebook Ads,Mobile
384,07/07/2024,Facebook Ads,Mobile
385,29/04/2024,Facebook Ads,Mobile
386,26/05/2024,Referral,Desktop
387,30/01/2024,Facebook Ads,Desktop
388,18/01/2024,Organic,Desktop
389,04/05/2024,Facebook Ads,Mobile
390,27/05/2024,Organic,Desktop
391,23/02/2025,Google Ads,Mobile
392,17/02/2024,Referral,Mobile
393,11/02/2024,Referral,Desktop
394,14/05/2024,Google Ads,Desktop
395,07/02/2024,Referral,Desktop
396,28/08/2024,Referral,Mobile
397,24/06/2024,Organic,Mobile
398,20/02/2024,Organic,Mobile
399,05/05/2024,Facebook Ads,Mobile
400,06/05/2024,Organic,Desktop
401,10/01/2024,Facebook Ads,Desktop
402,28/07/2024,Facebook Ads,Desktop
403,04/03/2024,Referral,Mobile
404,06/06/2024,Google Ads,Desktop
405,04/02/2024,Organic,Mobile
406,22/07/2024,Organic,Desktop
407,14/02/2024,Referral,Mobile
408,01/01/2024,Referral,Mobile
409,31/07/2024,Facebook Ads,Mobile
410,09/01/2024,Facebook Ads,Desktop
411,04/02/2024,Google Ads,Mobile
412,26/09/2024,Facebook Ads,Mobile
413,27/09/2024,Facebook Ads,Desktop
414,17/03/2024,Google Ads,Mobile
415,30/03/2024,Organic,Mobile
416,23/02/2024,Organic,Mobile
417,01/02/2024,Google Ads,Mobile
418,05/02/2024,Organic,Desktop
419,10/04/2024,Facebook Ads,Desktop
420,05/05/2024,Facebook Ads,Mobile
421,21/05/2024,Organic,Desktop
422,20/05/2024,Organic,Mobile
423,09/01/2024,Organic,Mobile
424,02/03/2024,Facebook Ads,Mobile
425,06/01/2024,Organic,Mobile
426,12/03/2024,Organic,Mobile
427,22/02/2024,Organic,Desktop
428,15/07/2024,Organic,Desktop
429,08/02/2024,Referral,Mobile
430,12/01/2024,Organic,Desktop
431,14/01/2024,Organic,Desktop
432,09/05/2024,Referral,Desktop
433,27/03/2024,Organic,Desktop
434,10/01/2024,Google Ads,Mobile
435,08/01/2024,Organic,Desktop
436,18/04/2024,Google Ads,Desktop
437,07/01/2024,Facebook Ads,Desktop
438,04/06/2024,Organic,Mobile
439,20/04/2024,Referral,Mobile
440,08/01/2024,Referral,Mobile
441,08/01/2024,Google Ads,Mobile
442,23/01/2025,Google Ads,Mobile
443,12/02/2024,Facebook Ads,Desktop
444,11/02/2024,Referral,Mobile
445,30/05/2024,Referral,Desktop
446,21/09/2024,Organic,Mobile
447,19/01/2025,Organic,Desktop
448,05/05/2024,Organic,Mobile
449,12/02/2024,Organic,Mobile
450,08/01/2024,Facebook Ads,Desktop
451,15/05/2024,Google Ads,Desktop
452,14/03/2024,Organic,Desktop
453,19/02/2024,Organic,Mobile
454,01/08/2024,Google Ads,Mobile
455,11/01/2024,Referral,Desktop
456,02/03/2024,Facebook Ads,Mobile
457,02/01/2024,Google Ads,Desktop
458,26/02/2024,Organic,Mobile
459,06/01/2024,Organic,Mobile
460,12/01/2024,Organic,Mobile
461,12/01/2024,Facebook Ads,Mobile
462,04/04/2024,Facebook Ads,Desktop
463,03/05/2024,Organic,Desktop
464,19/03/2024,Organic,Mobile
465,21/10/2024,Facebook Ads,Desktop
466,12/02/2024,Organic,Mobile
467,31/01/2024,Google Ads,Mobile
468,01/07/2024,Organic,Mobile
469,23/01/2024,Organic,Desktop
470,24/10/2024,Facebook Ads,Desktop
471,02/01/2024,Facebook Ads,Desktop
472,11/11/2024,Organic,Desktop
473,04/01/2024,Organic,Desktop
474,18/07/2024,Organic,Desktop
475,08/03/2024,Organic,Desktop
476,22/03/2025,Organic,Desktop
477,07/01/2024,Referral,Mobile
478,13/03/2024,Google Ads,Mobile
479,09/11/2024,Google Ads,Mobile
480,07/03/2024,Google Ads,Mobile
481,30/03/2024,Facebook Ads,Desktop
482,17/04/2024,Organic,Mobile
483,24/02/2024,Facebook Ads,Desktop
484,29/03/2024,Referral,Mobile
485,20/03/2024,Organic,Mobile
486,27/07/2024,Organic,Mobile
487,05/01/2024,Google Ads,Desktop
488,30/01/2024,Facebook Ads,Mobile
489,27/09/2024,Facebook Ads,Mobile
490,17/07/2024,Google Ads,Desktop
491,24/02/2024,Facebook Ads,Desktop
492,28/03/2024,Organic,Mobile
493,30/01/2024,Referral,Mobile
494,19/01/2024,Referral,Mobile
495,26/02/2024,Organic,Desktop
496,09/02/2024,Facebook Ads,Mobile
497,19/03/2024,Referral,Mobile
498,08/01/2024,Referral,Mobile
499,25/11/2024,Facebook Ads,Mobile
500,20/01/2025,Organic,Desktop
501,17/04/2024,Facebook Ads,Mobile
502,10/03/2024,Organic,Mobile
503,03/02/2024,Referral,Mobile
504,31/05/2024,Facebook Ads,Mobile
505,13/04/2024,Referral,Mobile
506,16/01/2024,Organic,Desktop
507,05/08/2024,Referral,Desktop
508,04/06/2024,Google Ads,Desktop
509,26/09/2024,Organic,Desktop
510,26/04/2024,Facebook Ads,Desktop
511,26/03/2024,Google Ads,Mobile
512,18/02/2024,Facebook Ads,Desktop
513,30/08/2024,Referral,Desktop
514,29/06/2024,Organic,Desktop
515,05/01/2024,Referral,Mobile
516,03/01/2024,Referral,Mobile
517,12/02/2024,Facebook Ads,Desktop
